name,top_category,sub_category
la bold 20,rokok,rokok
mustang,rokok,rokok
envio mild,rokok,rokok
aqua 600ml,air minum dalam kemasan,botol
bodrexin,obat obatan,obat kaplet
la bold 12,rokok,rokok
bodrex,obat obatan,obat kaplet
extrajoss,minuman sachet,minuman energy
dunhill mild 16,rokok,rokok
apache filter 12,rokok,rokok
aqua 1500ml,air minum dalam kemasan,botol
gg filter,rokok,rokok
sasa 1kg,bahan masakan,kaldu & penyedap
aroma slim 16,rokok,rokok
marlboro filter black 12,rokok,rokok
close up 160gr,perawatan gigi,pasta gigi
vip 12,rokok,rokok
antangin tablet,obat obatan,obat kaplet
aida 25 gr (24x10),bahan masakan,aneka sambal
starmild,rokok,rokok
marlboro filter black 20,rokok,rokok
neo mild,rokok,rokok
telon lang 60ml,obat luar,minyak gosok
sasa 1/4 kg (48),bahan masakan,kaldu & penyedap
telon lang 30ml,obat luar,minyak gosok
vigor 16,rokok,rokok
gpu 30ml,obat luar,minyak gosok
raven 16,rokok,rokok
toppas filter,rokok,rokok
gpu 60ml,obat luar,minyak gosok
neslite blue,rokok,rokok
mama lemon 800ml,sabun cuci piring,antiseptik
fermipan,bahan makanan,pengembang kue
le minerale 600ml,air minum dalam kemasan,botol
aroma bold 12,rokok,rokok
tea jus gula batu,minuman sachet,teh
magnum mild 20,rokok,rokok
neslite menthol,rokok,rokok
balsem lang 10gr,obat luar,balsam
terigu payung 25kg,bahan makanan,terigu
balsem lang 20gr,obat luar,balsam
promag,obat obatan,obat kaplet
hexos,makanan ringan,permen
tokai korek gas,korek api gas,korek api
bihun putri salju 1kg,bahan makanan,bihun kering
jinggo lama,rokok,rokok
pocari kaleng,minuman dalam kemasan,minuman segar
club 1500ml,air minum dalam kemasan,botol
club 600ml,air minum dalam kemasan,botol
sampoerna mild 16,rokok,rokok
gg mild 16,rokok,rokok
magnum mild 50,rokok,rokok
gg surya 16,rokok,rokok
yosan toples 460gr,makanan ringan,permen
u mild,rokok,rokok
bango kecap manis 550ml,bahan masakan,aneka kecap
lucky strike bold 12,rokok,rokok
u mild 12,rokok,rokok
dunhill mild 20,rokok,rokok
le minerale 1500ml,air minum dalam kemasan,botol
paramex nyeri otot,obat obatan,obat kaplet
le minerale 330ml,air minum dalam kemasan,botol
neslite merah,rokok,rokok
neslite hitam,rokok,rokok
neslite black,rokok,rokok
kertas nasi cap gajah,prt,kertas bungkus
bodrex extra,obat obatan,obat kaplet
levite 350ml,minuman dalam kemasan,minuman segar
wismilak diplomat 12,rokok,rokok
acc santan 65ml,bahan masakan,kaldu & penyedap
garam daun 250gr,bahan masakan,garam
keju prochiz,produk susu,keju
u mild 16,rokok,rokok
vfresh original 8ml,obat luar,minyak gosok
vfresh hot 8ml,obat luar,minyak gosok
vegeta herbal,minuman sachet,minuman herbal
sasa 50gr,bahan masakan,kaldu & penyedap
umild 12,rokok,rokok
kecap guna 580ml,bahan masakan,aneka kecap
kispray gold 300ml,pkrt,pengharum
sasa 100gr,bahan masakan,kaldu & penyedap
uj mimi stroberi 125ml,minuman dalam kemasan,susu
kispray violet 300ml,pkrt,pengharum
uj mimi full cream 125ml,minuman dalam kemasan,susu
ladaku,bahan masakan,kaldu & penyedap
philip morris bold 12,rokok,rokok
bodrex migra,obat obatan,obat kaplet
marlboro filter black,rokok,rokok
supersol 450ml,sabun cuci lantai,pembersih ruangan
good day mocacinno 20gr,minuman sachet,kopi instant
clas mild 16,rokok,rokok
mkp plus 30ml,obat luar,minyak gosok
sikat gigi formula,perawatan gigi,sikat gigi
a mild 12,rokok,rokok
esse change,rokok,rokok
mkp plus 15ml,obat luar,minyak gosok
ziga,rokok,rokok
hit mat,pkrt,obat nyamuk
telon lang plus 30ml,obat luar,minyak gosok
koolfever,obat luar,kompres demam
konidin,obat obatan,obat kaplet
telon lang plus 60ml,obat luar,minyak gosok
hydro coco 500ml,minuman dalam kemasan,minuman segar
marlboro filter black 16,rokok,rokok
pulpy orange 300ml,minuman dalam kemasan,minuman segar
mkp plus 60ml,obat luar,minyak gosok
tea jus,minuman sachet,teh
mamalime 800ml,sabun cuci piring,antiseptik
baby happy pants xl20,perawatan bayi,popok
sirup marjan,sirop,minuman segar
milo uht 190ml,minuman dalam kemasan,minuman energy
pro mild,rokok,rokok
marlboro lights,rokok,rokok
gula gmp,bahan masakan,gula
teh pucuk,minuman dalam kemasan,teh
teh rio,minuman dalam kemasan,teh
masako ayam,bahan masakan,kaldu & penyedap
gula pasir,bahan masakan,gula
abc susu,minuman sachet,kopi instant
sasa s 5000 (80),bahan masakan,kaldu & penyedap
sasa s 1000 (12x20),bahan masakan,kaldu & penyedap
dunhil filter 12,rokok,rokok
frisian flag kental manis putih 370g,skm,susu kental
sasa 500,bahan masakan,kaldu & penyedap
hydro coco,minuman dalam kemasan,minuman segar
hydro coco 250ml,minuman dalam kemasan,minuman segar
frisian flag full cream gold 370g,skm,susu kental
aqua 220ml,air minum dalam kemasan,gelas
ichi ocha 350ml,minuman dalam kemasan,botol
ultra milk coklat 200ml,minuman dalam kemasan,susu
mizone,minuman dalam kemasan,minuman segar
kelly lemon 15gr,sabun mandi,antiseptik
gula merah,bahan masakan,gula
rejoice,perawatan rambut,shampo
vit 600ml,air minum dalam kemasan,botol
teh sariwangi kotak,teh kemasan,teh celup
vit 220ml,air minum dalam kemasan,gelas
ultra milk coklat 125ml,minuman dalam kemasan,susu
vit 1500ml,air minum dalam kemasan,botol
hemaviton action,minuman sachet,minuman energy
teh botol kotak 200ml,minuman dalam kemasan,teh
vixal 500ml,sabun cuci lantai,pembersih ruangan
neslite mentol,rokok,rokok
kelly lemon 25gr,sabun mandi,antiseptik
teh sisri,minuman sachet,teh
gudang garam merah 12,rokok,rokok
mikako,makanan ringan,snack
aqua 330ml,air minum dalam kemasan,botol
royco ayam ec 500 (48x12),bahan masakan,kaldu & penyedap
tepung beras putih rose brand 500gr (20),bahan makanan,tepung
racik tempe,bahan masakan,kaldu & penyedap
jazz1 900gr,sabun cuci pakaian,deterjen
djarum coklat 12,rokok,rokok
pocari sweat 350ml,minuman dalam kemasan,minuman segar
indomie goreng,makanan instant,mie instant
djarum super 16,rokok,rokok
cuka dixi 150ml,bahan masakan,cuka
cuka dixi 650ml,bahan masakan,cuka
molto pewangi blue 900ml,sabun cuci pakaian,pengharum
molto pewangi pink 900ml,sabun cuci pakaian,pengharum
sampoerna mild 12,rokok,rokok
sunsilk black shine 70ml,perawatan rambut,shampo
bayclin regular 200ml,sabun cuci pakaian,pemutih
sagu spm 25kg,bahan makanan,sagu
sagu gunung,bahan makanan,tepung
pristine 600ml,air minum dalam kemasan,botol
pristine 400ml,air minum dalam kemasan,botol
royco ayam,bahan masakan,kaldu & penyedap
royco sapi ec 500 (48x12),bahan masakan,kaldu & penyedap
power f,minuman dalam kemasan,minuman energy
mony cincau,minuman dalam kemasan,minuman segar
royco sapi,bahan masakan,kaldu & penyedap
indocafe coffemix 20gr,minuman sachet,kopi instant
goriorio,makanan ringan,biskuit
sasa 1000,bahan masakan,kaldu & penyedap
stream 600ml,air minum dalam kemasan,botol
sasa 100 g (12x10),bahan masakan,kaldu & penyedap
soun naga 50gr,makanan instant,soun kering
top susu,minuman sachet,kopi instant
terigu cakra 25kg,bahan makanan,terigu
terigu lencana merah 1 kg,bahan makanan,terigu
sarimi 2 tongseng,makanan instant,mie instant
kalpa,makanan ringan,wafer
sarimi 2 soto,makanan instant,mie instant
kacang tanah india super,makanan ringan,kacang-kacangan
terigu lencana merah 25kg,bahan makanan,terigu
terigu payung,bahan makanan,terigu
antaka 100gr sapi panggang (20x10),bahan masakan,kaldu & penyedap
terigu segitiga biru 25kg,bahan makanan,terigu
sarimi 2 kari,makanan instant,mie instant
kacang tanah,makanan ringan,kacang-kacangan
kacang ijo bening super (bal),makanan ringan,kacang-kacangan
downy 500,sabun cuci pakaian,pengharum
sprite 390ml,minuman dalam kemasan,soft drink
sarimi 2 baso,makanan instant,mie instant
teh bdr celup 25s,teh kemasan,teh celup
ka 165gr,minuman bubuk,kopi instant
magnum mild,rokok,rokok
gula nona ec 1rb (10x10),bahan masakan,gula
ciptadent 120gr,perawatan gigi,pasta gigi
panther,minuman dalam kemasan,minuman energy
entrostop anak,obat obatan,obat cair
pantene anti dandruff 70ml,perawatan rambut,shampo
lada bulat,bahan masakan,kaldu & penyedap
koyo cabe,obat luar,koyo
kratingdaeng,minuman dalam kemasan,minuman energy
kratingdaeng 150ml,minuman dalam kemasan,minuman energy
floridina,minuman dalam kemasan,minuman segar
kratingdeng,minuman dalam kemasan,minuman energy
nutrisari jeruk peras,minuman sachet,minuman segar
abc mocca,minuman sachet,kopi instant
abc mocca 27gr,minuman sachet,kopi instant
komix kid,obat obatan,obat cair
larutan anak,minuman dalam kemasan,minuman segar
esse shuffle pop,rokok,rokok
esse mild,rokok,rokok
esse berry pop,rokok,rokok
coca cola 390ml,minuman dalam kemasan,soft drink
entrostop,obat obatan,obat kaplet
yeos cincau,minuman dalam kemasan,minuman segar
energen coklat,minuman sachet,sereal
energen kurma,minuman sachet,sereal
mamalemon 130ml k24,sabun cuci piring,antiseptik
marimas jeruk peras 8gr r12,sirop,minuman segar
kuku bima jrk c-1000,minuman sachet,minuman energy
marimas kelapa muda 6gr k10,sirop,minuman segar
marimas kelapa muda 6gr b6 r72,sirop,minuman segar
marimas kelapa muda,minuman sachet,minuman segar
kuaci rebo milk 13gr b10,makanan ringan,kuaci
marimas jrk nipis,minuman sachet,minuman segar
marimas jeruk pontianak 8gr r12,minuman sachet,minuman segar
marimas jeruk pontianak 8gr k12,minuman sachet,minuman segar
marimas jeruk pontianak 8gr b6,minuman sachet,minuman segar
marimas jeruk pontianak,minuman sachet,minuman segar
marimas jeruk peres,minuman sachet,minuman segar
kuaci rebo milk 13gr k10,makanan ringan,kuaci
kuaci rebo milk 13gr r2,makanan ringan,kuaci
marimas mangga,minuman sachet,minuman segar
marimas jeruk peras 8gr k10,sirop,minuman segar
marimas jeruk peras 8gr b6,sirop,minuman segar
marimas jeruk nipis 6gr r12,sirop,minuman segar
kuku bima ener-g rasa anggur,minuman sachet,minuman energy
marimas jeruk nipis 6gr k10,sirop,minuman segar
marimas jeruk nipis 6gr b6 r72,sirop,minuman segar
mamajeruk nps 120ml k24,sabun cuci piring,antiseptik
marimas jeruk manis,minuman sachet,minuman segar
kuaci rebo original 13gr b10,makanan ringan,kuaci
marimas jeruk 6gr r12,sirop,minuman segar
kue sirup 2,makanan ringan,kue
marimas jeruk 6gr k10,sirop,minuman segar
marimas kelapa muda 6gr r12,sirop,minuman segar
marimas mangga arumanis,minuman sachet,minuman segar
marimas jeruk,minuman sachet,minuman segar
marimas mangga bangkok,minuman sachet,minuman segar
mama lemon 800ml k12,sabun cuci piring,antiseptik
ktg sparta bng 24,prt,plastik
ktg tiger merah 28,prt,plastik
mamajeruk nipis 58ml,sabun cuci piring,antiseptik
mamajeruk nipis 58ml k72,sabun cuci piring,antiseptik
marimas strawbery,minuman sachet,minuman segar
mamajeruk nps 120ml,sabun cuci piring,antiseptik
ktg tiger merah 40,prt,plastik
marimas sirsak,minuman sachet,minuman segar
ktg tiger mrh 35,prt,plastik
marimas rujak manis,minuman sachet,minuman segar
marimas pink leci 8gr r12,minuman sachet,minuman segar
kuaci koala b10,makanan ringan,kuaci
marimas pink leci 8gr k12,minuman sachet,minuman segar
marimas pink leci 8gr b6,minuman sachet,minuman segar
kuaci koala k20,makanan ringan,kuaci
marimas nanas 6gr r12,sirop,minuman segar
marimas nanas 6gr k12,sirop,minuman segar
marimas nanas 6gr b6 r72,sirop,minuman segar
marimas melon 8gr r12,sirop,minuman segar
marimas melon 8gr k10,sirop,minuman segar
kukubima anggur 4.5gr @6sch,obat obatan,obat cair
marimas melon 8gr b6,sirop,minuman segar
marimas melon,minuman sachet,minuman segar
kukubima anggur,minuman sachet,minuman energy
marimas jeruk 6gr b6 r72,sirop,minuman segar
mamajeruk nps 230ml,sabun cuci piring,antiseptik
mamalemon 400ml,sabun cuci piring,antiseptik
mamalime 58ml,sabun cuci piring,antiseptik
mamypoko m rtg r12,perawatan bayi,popok
mamypoko m rtg k10,perawatan bayi,popok
kue apel,makanan ringan,kue
mamypoko l rtg r12,perawatan bayi,popok
mamypoko l rtg k10,perawatan bayi,popok
kue kukis coklat 260gr,makanan ringan,kue kering
mamy poko pants xl,perawatan bayi,popok
mamy poko pants m1/10pcs,perawatan bayi,popok
mamy poko pants l1/10pcs,perawatan bayi,popok
mamalime 800ml k12,sabun cuci piring,antiseptik
kue kukis kacang 260gr,makanan ringan,kue kering
mamalime 58ml k72,sabun cuci piring,antiseptik
kue kukis kacang almond 220gr,makanan ringan,kue kering
mamypoko s rtg k10,perawatan bayi,popok
mamalime 400ml k12,sabun cuci piring,antiseptik
mamajeruk nps 400ml k12,sabun cuci piring,antiseptik
kue segi delapan,makanan ringan,kue
mamalemon 130ml,sabun cuci piring,antiseptik
mamalime 400ml,sabun cuci piring,antiseptik
kue segi delapan parcel,makanan ringan,kue
mamalime 130ml k24,sabun cuci piring,antiseptik
mamalime 130ml,sabun cuci piring,antiseptik
mamalemon 58ml k72,sabun cuci piring,antiseptik
mamalemon 58ml,sabun cuci piring,antiseptik
mamalemon 400ml k12,sabun cuci piring,antiseptik
kue segi empat,makanan ringan,kue
kuaci xiang-xiang k20,makanan ringan,kuaci
mamypoko s rtg r12,perawatan bayi,popok
kue sirup 1,makanan ringan,kue
marimas cocopandan,minuman sachet,minuman segar
marimas jambu biji,minuman sachet,minuman segar
marimas gula asem 7gr r12,minuman sachet,minuman segar
marimas gula asem 7gr k10,minuman sachet,minuman segar
marimas gula asem 7gr b6,minuman sachet,minuman segar
kuaci rebo original 13gr k10,makanan ringan,kuaci
marimas gula asem,minuman sachet,minuman segar
marimas cocopandan 6gr r12,sirop,minuman segar
mamajeruk nps 230ml k24,sabun cuci piring,antiseptik
marimas cocopandan 6gr k10,sirop,minuman segar
mamajeruk nps 400ml,sabun cuci piring,antiseptik
kuaci rebo original 13gr r2,makanan ringan,kuaci
marimas cocopandan 6gr b6 r72,sirop,minuman segar
marimas cincau 8gr r12,sirop,minuman segar
mamypoko xxl rtg k10,perawatan bayi,popok
marimas cincau 8gr k10,sirop,minuman segar
marimas cincau 8gr b6,sirop,minuman segar
marimas cincau,minuman sachet,minuman segar
marimas anggur 6gr r12,sirop,minuman segar
marimas anggur 6gr k10,sirop,minuman segar
kuaci xiang-xiang b20,makanan ringan,kuaci
marimas anggur 6gr b6 r72,sirop,minuman segar
marimas anggur,minuman sachet,minuman segar
kue segi empat parcel,makanan ringan,kue
marie susu inafood k10,makanan ringan,biskuit
marie susu inafood b12 k120,makanan ringan,biskuit
mamypoko xxl rtg r12,perawatan bayi,popok
lavenda pink horal 8ml b12,pkrt,obat nyamuk
ktg polo sedang,prt,plastik
marina natural 100 ml,perawatan tubuh,lotion
mayumi 20gr k10,bahan makanan,mayonaise
mentos fruit 135gr k40,makanan ringan,permen
mentos fruit 135gr,makanan ringan,permen
menara,rokok,rokok
mb. putih,rokok,rokok
mb. merah,rokok,rokok
mb. ice,rokok,rokok
