name,top_category,sub_category
komix peppermint 7ml k30,Obat Obatan,Obat Cair
chacha peanut 13gr b9,Makanan Ringan,Cokelat
muffin pandan 20gr b8,Makanan Ringan,Kue Kering
mie shoor 500,Makanan Instant,Snack
gery malkist coconut 36gr b6 k60,Makanan Ringan,Biskuit
gpu cream 150gr,Obat Luar,Minyak Gosok
lux bw soft rose 450ml,Sabun Mandi,Antiseptik
canasta bbq 20gr k6,Makanan Ringan,Snack
candy mintz zing spearmint (24sak),Makanan Ringan,Permen
biskuat ori 60gr,Makanan Ringan,Biskuit
chocopie,Makanan Ringan,Biskuit
roma malkist coklat kelapa 20x22.5g,Makanan Ringan,Biskuit
bihun doroku 158g,Bahan Makanan,Bihun Kering
aqua 330ml k24,Air Minum Dalam Kemasan,Botol
garam ibu jari (40),Bahan Masakan,Garam
cip. eko 65 gr,Makanan Kaleng,Kornet
yupi aquarium b12,Makanan Ringan,Jelly
chocolatos keju 16gr,Makanan Ringan,Biskuit
tango keju 20gr b8 k160,Makanan Ringan,Wafer
goon sb l k10(r),Perawatan Bayi,Popok
sosis kimbo otak 480gr k24,Makanan Instant,Sosis
susu indomilk botol strawberry 190ml (24btl),Minuman Dalam Kemasan,Susu
amplop garda 90 dus (60pcs),ATK,Amplop
sunlight 95ml (72),Sabun Cuci Piring,Antiseptik
molto 1000,Sabun Cuci Pakaian,Pengharum
candy kopiko blister 24gr (12box x 12pcs),Makanan Ringan,Permen
fatigon (15str),Obat Obatan,Multi Vitamin
syrup bangau dus 12x620ml,Sirop,Minuman Segar
sedap 1rb 31+3ml (12x12),Makanan Instant,Mie Instant
minuman rtd teh gelas cup 170ml (24cup),Minuman Dalam Kemasan,Teh
nabati ahh' 16gr b12,Makanan Ringan,Wafer
abc kecap manis 225ml k24,Bahan Masakan,Aneka Kecap
hilo thai tea 15gr,Minuman Sachet,Susu
racik tumis 22gr k10,Bahan Masakan,Bumbu & Penyedap
sambal belibis dus 12x335ml,Bahan Masakan,Aneka Sambal
biskuit inafood goodbis rose cream blueberry 200 gr (3slop x 7pcs),Makanan Ringan,Biskuit
stella spray rose 250ml,PKRT,Pengharum Ruangan
kopiko blister pack pls (isi 12),Makanan Ringan,Permen
giv papaya 76gr k72,Sabun Mandi,Antiseptik
geliga k pak 12x10g,Obat Luar,Balsam
softener sklbs tw red 14ml r4,Sabun Cuci Pakaian,Deterjen
rapika hijau 400ml,Sabun Cuci Pakaian,Deterjen
mlb lights 20 slp,Rokok,Rokok
rinso molto rose 46gr k6,Sabun Cuci Pakaian,Deterjen
sk pewangi violet 900ml,Sabun Cuci Pakaian,Pengharum
gula putih gmp,Bahan Masakan,Gula
minuman rtd tehrio original 200ml (24cup),Minuman Dalam Kemasan,Teh
coca cola 1l,Minuman Dalam Kemasan,Soft Drink
gg move 12,Rokok,Rokok
wafer stick gery chocolatos dark 1000an (6box x 20pcs),Makanan Ringan,Wafer
hit spray lily blossom 415ml,PKRT,Obat Nyamuk
arden cookies 12x30g,Makanan Ringan,Kue Kering
madurasa jeruk nipis botol 150gr,Minuman Dalam Kemasan,Multi Vitamin
sedap kari ayam 72gr k40,Makanan Instant,Mie Instant
abc white,Minuman Sachet,Kopi Instant
dk sukro ori 20gr,Makanan Ringan,Kacang-Kacangan
wafer stick sajuki premium jumbo vanila (6toples),Makanan Ringan,Wafer
magnum mild 16 slp,Rokok,Rokok
cake padimas cream cake brownis stroberi 12gr (10slop x 10pcs),Makanan Ringan,Kue Kering
sukro original 70g (ball),Makanan Ringan,Kacang-Kacangan
kobe tp kentucky 75gr,Bahan Makanan,Tepung
biskuit inafood goodbis crispy roasted chicken 135gr (4 slop x 6pcs),Makanan Ringan,Biskuit
astor 150g,Makanan Ringan,Wafer Cokelat
kobe tp putih 75gr,Bahan Makanan,Tepung
finna seleraku krpk udang,Makanan Instant,Kerupuk Kering
forte menthol 20 slp,Rokok,Rokok
candy foxs berries sak kecil baruuu 125g (24sak),Makanan Ringan,Permen
lavenda pink horal 8ml k24,PKRT,Obat Nyamuk
gd vanila latte,Minuman Sachet,Kopi Instant
marlboro merah,Rokok,Rokok
sarimi 2 goreng ikan teri125gr k24,Makanan Instant,Mie Instant
luwak hitam,Minuman Bubuk,Kopi Instant
susu kental manis frisian flag pouch putih 560g (24 pouch),SKM,Susu Kental
torabika cappucino 25gr k10,Minuman Bubuk,Kopi Instant
geliga tg @ 20 gr,Obat Luar,Balsam
kis grape mint 125g,Makanan Ringan,Permen
minuman air mineral pure life botol 600ml (24btl),Air Minum Dalam Kemasan,Botol
biskuit kokola kukis butter 218gr (4slop x 6pcs),Makanan Ringan,Biskuit
waisan 1gr b10,Obat Obatan,Obat Puyer
oskadon sp (25str),Obat Obatan,Obat Sakit Kepala
mp xl26 b4,Perawatan Bayi,Popok
fresnatural 70gr,Sabun Mandi,Antiseptik
peti telor,PRT,Peti
yupi bolicious strawberry (24x5g),Makanan Ringan,Permen
ff kal coklat,SKM,Susu Kental
sikat gigi formula,Perawatan Gigi,Sikat Gigi
sedap baso,Makanan Instant,Mie Instant
mogu mogu coconut 320ml,Minuman Dalam Kemasan,Botol
milo klg 240ml,Minuman Dalam Kemasan,Minuman Energy
susu serbuk dancow 5+ vanila 800 gr (12 box),Minuman Bubuk,Susu
lotte gum h wheels,Makanan Ringan,Permen Karet
garuda kacang kulit 180gr b4,Makanan Ringan,Kacang-Kacangan
salonpas gel 30gr,Obat Luar,Koyo
gurih malkist crackerst 125gr b5,Makanan Ringan,Biskuit
kapas sari ayu,PKRT,Kapas Pembersih Wajah
coklat simon loly 9gr (12box x 20pcs),Makanan Ringan,Cokelat
paseo wipes 10's 1+1,PKRT,Tisu
te vetro 230ml,Minuman Dalam Kemasan,Teh
gmen acno fight foam 100ml,Perawatan Tubuh,Pembersih Wajah
susu clevo uht ice cream cokelat 125ml (30 pcs),Minuman Dalam Kemasan,Susu
biskuit tim tam maxi 1000an keju (10 slop x 12 pcs),Makanan Ringan,Biskuit
sagu gunung,Bahan Makanan,Sagu
biskuit delux butter cookies kaleng 400gr (6 klg),Makanan Ringan,Biskuit
xxbihunku soto spcsl,Makanan Instant,Bihun Kering
soklin lantai 450ml,Sabun Cuci Lantai,Pembersih Ruangan
abc squash orange 525ml,Sirop,Minuman Segar
biosol sachet,Sabun Cuci Lantai,Pembersih Ruangan
ekonomi 5rb (e900) (12),Sabun Krim,Sabun Cuci Piring
rapika hijau 400ml k12,Sabun Cuci Pakaian,Deterjen
kwaci,Makanan Ringan,Kuaci
lifebouy sabun 80gr,Sabun Mandi,Antiseptik
clear shp ic menthol 70ml,Perawatan Rambut,Shampo
terigu payung 25 kg,Bahan Makanan,Terigu
sprite,Minuman Dalam Kemasan,Soft Drink
napacin (50str),Obat Obatan,Obat Sesak
bumbu bon cabe renteng 500an 2.5gr level 15 (20slop x 20pcs),Bahan Masakan,Kaldu & Penyedap
dj 76 12 slp,Rokok,Rokok
kacang ijo butek kgm (bagus) (bal),Makanan Ringan,Kacang-Kacangan
sikat baju bagus,PKRT,Sikat
sedap cup ayam bawang k12,Makanan Instant,Mie Instant
supermi sop buntut 75g,Makanan Instant,Mie Instant
